Code,Area,Area_Zh,District,District_Zh,Region,Region_Zh,AUM,Lat,Long
SD1,Aberdeen,香港仔,Southern,南區,Hong Kong Island,港島,141,22.2483068,114.1524398
AD,Admiralty,金鐘,Central and Western,中西區,Hong Kong Island,港島,4343,22.279412,114.164559
SD2,Ap Lei Chau,鴨脷洲,Southern,南區,Hong Kong Island,港島,564,22.2418581,114.1528532
CB,Causeway Bay,銅鑼灣,Wan Chai,灣仔區,Hong Kong Island,港島,1214,22.2859787,114.1914919
CD,Central,中環,Central and Western,中西區,Hong Kong Island,港島,3011,22.2799907,114.1587983
KT1,Cha Kwo Ling,茶果嶺,Kwun Tong,觀塘區,Kowloon,九龍,3464,22.3078285,114.2283994
CW1,Chai Wan,柴灣,Eastern,東區,Hong Kong Island,港島,6823,22.2678103,114.2360778
CLK1,Chek Lap Kok,赤鱲角,Islands,離島區,New Territories,新界,6825,22.3083934,113.923907
ISL1,Cheung Chau,長洲,Islands,離島區,New Territories,新界,4271,22.2016179,114.0265007
CSW,Cheung Sha Wan,長沙灣,Sham Shui Po,深水埗區,Kowloon,九龍,3386,22.3324959,114.1601252
CH,Choi Hung,彩虹,Wong Tai Sin,黃大仙區,Kowloon,九龍,1249,22.338279,114.201206
SD3,Chung Hom Kok,舂坎灣,Southern,南區,Hong Kong Island,港島,2565,22.2183333,114.2048704
DH,Diamond Hill,鑽石山,Wong Tai Sin,黃大仙區,Kowloon,九龍,3838,22.3438727,114.2048704
SD4,Deep Water Bay,深水灣,Southern,南區,Hong Kong Island,港島,1316,22.2495068,114.1840643
ISL2,Discovery Bay,愉景灣,Islands,離島區,New Territories,新界,1981,22.2921406,114.0101467
FL,Fanling,粉嶺,North,北區,New Territories,新界,4491,22.4916829,114.1414685
NP1,Fortress Hill,炮台山,Eastern,東區,Hong Kong Island,港島,1642,22.288336,114.19321
ST1,Fotan,火炭,Sha Tin,沙田區,New Territories,新界,8739,22.3985709,114.1929428
HV,Happy Valley,跑馬地,Wan Chai,灣仔區,Hong Kong Island,港島,6236,22.268352,114.1865135
HMT,Ho Man Tin,何文田,Kowloon City,九龍城區,Kowloon,九龍,170,22.318507,114.1755339
HH,Hunghom,紅磡,Kowloon City,九龍城區,Kowloon,九龍,9278,22.3055658,114.1887233
JD,Jordan,佐敦,Yau Tsim Mong,油尖旺區,Kowloon,九龍,5970,22.3048612,114.1692021
NT1,Kam Tin,錦田,Yuen Long,元朗區,New Territories,新界,7926,22.440058,114.0650077
WD1,Kennedy Town,堅尼地城,Central and Western,中西區,Hong Kong Island,港島,1359,22.2822235,114.1292619
KLB,Kowloon Bay,九龍灣,Kwun Tong,觀塘區,Kowloon,九龍,182,22.3266646,114.2078426
KLC,Kowloon City,九龍城,Kowloon City,九龍城區,Kowloon,九龍,4712,22.3232097,114.1855505
KLT,Kowloon Tong,九龍塘,Kowloon City,九龍城區,Kowloon,九龍,6899,22.3369319,114.1763367
KC1,Kwai Chung,葵涌,Kwai Tsing,葵青區,New Territories,新界,4567,22.3668502,114.1302591
KC2,Kwai Fong,葵芳,Kwai Tsing,葵青區,New Territories,新界,6619,22.3578109,114.1298151
KC3,Kwai Hing,葵興,Kwai Tsing,葵青區,New Territories,新界,3800,22.3668502,114.1302591
KT2,Kwun Tong,觀塘,Kwun Tong,觀塘區,Kowloon,九龍,6175,22.3103686,114.2227035
LCK1,Lai Chi Kok,荔枝角,Sham Shui Po,深水埗區,Kowloon,九龍,9664,22.3377817,114.1359272
LCK2,Lai King,荔景,Kwai Tsing,葵青區,New Territories,新界,8124,22.348416,114.126161
LT3,Lam Tin,藍田,Kwun Tong,觀塘區,Kowloon,九龍,783,22.3080199,114.2375638
ISL3,Lamma Island,南丫島,Islands,離島區,New Territories,新界,644,22.2000056,114.1350173
ISL4,Lantau Island,大嶼山,Islands,離島區,New Territories,新界,6127,22.2664984,113.941751
LF1,Lok Fu,樂富,Wong Tai Sin,黃大仙區,Kowloon,九龍,4793,22.3377402,114.1862935
ST2,Ma On Shan,馬鞍山,Sha Tin,沙田區,New Territories,新界,9557,22.4276756,114.2402751
LCK3,Mei Foo,美孚,Sham Shui Po,深水埗區,Kowloon,九龍,7815,22.3366356,114.1402195
SD5,Middle Bay,中灣,Southern,南區,Hong Kong Island,港島,7774,22.2297387,114.1980435
ML1,Mid-Level,半山區,Central and Western,中西區,Hong Kong Island,港島,9318,22.2811673,114.142449
MK1,Mongkok,旺角,Yau Tsim Mong,油尖旺區,Kowloon,九龍,8319,22.3203648,114.169773
WD2,Mount Davis,摩星嶺,Central and Western,中西區,Hong Kong Island,港島,6383,22.276065,114.12164
NTK,Ngau Tau Kok,牛頭角,Kwun Tong,觀塘區,Kowloon,九龍,7435,22.322466,114.2167592
NP2,North Point,北角,Eastern,東區,Hong Kong Island,港島,6749,22.2884683,114.192803
ISL5,Ping Chau,坪洲,Islands,離島區,New Territories,新界,9565,22.2830679,114.0413675
SD6,Pok Fu Lam,薄扶林,Central and Western,中西區,Hong Kong Island,港島,5096,22.2683641,114.1313182
MK2,Prince Edward,太子,Yau Tsim Mong,油尖旺區,Kowloon,九龍,5495,22.3243935,114.1692021
QB,Quarry Bay,鰂魚涌,Eastern,東區,Hong Kong Island,港島,5412,22.2827206,114.2123009
SD7,Repulse Bay,淺水灣,Southern,南區,Hong Kong Island,港島,566,22.2345043,114.1952039
SK,Sai Kung,西貢,Sai Kung,西貢區,New Territories,新界,2962,22.383689,114.2707867
WD3,Sai Wan,西環,Central and Western,中西區,Hong Kong Island,港島,4616,22.2876838,114.1365037
