Street,Full,Lat,Long
A Kung Ngam,"A Kung Ngam, Hong Kong",22.2814114,114.2338487
A Kung Ngam Road,"A Kung Ngam Rd, Hong Kong",22.2787355,114.2314317
A Kung Ngam Village Lane,"A Kung Ngam Village Rd, Hong Kong",22.2820736,114.2325266
A Kung Ngam Village Road,"A Kung Ngam Village Rd, Hong Kong",22.2820736,114.2325266
Aberdeen Main Road,"Aberdeen Main Rd, Aberdeen, Hong Kong",22.2485524,114.155661
Aberdeen Praya Road,"Aberdeen Praya Rd, Hong Kong",22.247975,114.1531175
Aberdeen Reservoir Road,"Aberdeen Reservoir Rd, Hong Kong",22.2584518,114.1626375
Aberdeen Street,"Aberdeen St, Hong Kong",22.2835267,114.1525191
Airport Drive No. 2,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808
Albany Road,"Albany Rd, Hong Kong",22.2778698,114.155521
Albert Path,"Albert Path, Hong Kong",22.2791433,114.156421
Aldrich Bay,"Aldrich Bay Rd, Hong Kong",22.2797217,114.2274559
Aldrich Bay Road,"Aldrich Bay Rd, Hong Kong",22.2797217,114.2274559
Aldrich Street,"Aldrich St, Shau Kei Wan, Hong Kong",22.2777976,114.2284334
Algar Court,"Algar Ct, Sai Wan, Hong Kong",22.2867344,114.1414352
Alnwick Road,"Alnwick Rd, Beacon Hill, Hong Kong",22.3429858,114.1780298
Alveston Terrace,Hong Kong,22.396428,114.109497
Anchor Street,"Anchor St, Tai Kok Tsui, Hong Kong",22.320176,114.1638066
Anhui Street,"Anhui St, To Kwa Wan, Hong Kong",22.3149969,114.1871867
Anton Street,"Anton St, Wan Chai, Hong Kong",22.2773171,114.1690014
Ap Lei Chau,"Ap Lei Chau, Hong Kong",22.2418581,114.1528532
Ap Lei Chau Bridge Road,"Ap Lei Chau Bridge Rd, Hong Kong",22.2434299,114.155637
Ap Lei Chau Drive,"Ap Lei Chau Dr, Ap Lei Chau, Hong Kong",22.2433834,114.1583195
Ap Lei Chau Praya Road,"Ap Lei Chau Praya Rd, Ap Lei Chau, Hong Kong",22.2422119,114.1588588
Apliu Street,"Apliu St, Hong Kong",22.328985,114.1635447
Arbuthnot Road,"Arbuthnot Rd, Hong Kong",22.2802879,114.1544569
Argyle Street,"Argyle St, Hong Kong",22.3221761,114.1797685
Arran Lane,"Arran Ln, Mong Kok, Hong Kong",22.3220268,114.1659858
Arran Street,"Arran St, Mong Kok, Hong Kong",22.3227177,114.1669971
Arrivals Road,"Dragonair House, 11 Tung Fai Road, Hong Kong International Airport, Chek Lap Kok, Lantau Island, Hong Kong, Hong Kong",22.3031278,113.9386694
Arsenal Street,"Arsenal St, Wan Chai, Hong Kong",22.2783366,114.1692566
Arthur Street,"Arthur St, Yau Ma Tei, Hong Kong",22.3110764,114.1705348
Ash Street,"Ash St, Tai Kok Tsui, Hong Kong",22.3204474,114.1646929
Ashley Road,"Ashley Rd, Tsim Sha Tsui, Hong Kong",22.2966412,114.1705685
Austin Avenue,"Austin Ave, Tsim Sha Tsui, Hong Kong",22.3024673,114.1753879
Austin Road,"Austin Rd, Hong Kong",22.3032899,114.1725557
Austin Road West,"Austin Rd, Hong Kong",22.3032899,114.1725557
Babington Path,"Babington Path, Mid-level, Hong Kong",22.2842065,114.1426127
Bailey Street,"Old Bailey St, Hong Kong",22.2813889,114.1535083
Baker Court,"Baker Ct, Hung Hom, Hong Kong",22.3068149,114.1835868
Baker Street,"Baker St, Hung Hom, Hong Kong",22.3061823,114.1853221
Bank Street,"Bank St, Tanga, Tanzania",-5.070810499999999,39.1018023
Baptist University Road,"Baptist University Rd, Kowloon Tsai, Hong Kong",22.3354512,114.1829159
Barker Road,"Barker Rd, The Peak, Hong Kong",22.2706433,114.1582176
Basel Road,"Basel Rd, Shau Kei Wan, Hong Kong",22.2812919,114.2310684
Battery Path,"Battery Path, Central, Hong Kong",22.2792219,114.1596169
Battery Street,"Battery St, Yau Ma Tei, Hong Kong",22.3078978,114.1689855
Beach Road,"Beach Rd, Repulse Bay, Hong Kong",22.2376085,114.1963411
Beacon Hill Road,"Beacon Hill Rd, Beacon Hill, Hong Kong",22.3429732,114.1752783
Beautiful Terrace,Hong Kong,22.396428,114.109497
Bedford Road,"Bedford Rd, Tai Kok Tsui, Hong Kong",22.3231171,114.1636602
Beech Street,"Beech St, Tai Kok Tsui, Hong Kong",22.3207516,114.1631886
Begonia Road,"Begonia Rd, Yau Yat Chuen, Hong Kong",22.3320885,114.173683
Bel-Air Avenue,"Bel-air Ave, Telegraph Bay, Hong Kong",22.258242,114.1319573
Bel-Air Peak Avenue,"Bel-air Peak Ave, Telegraph Bay, Hong Kong",22.2542631,114.1332741
Bel-Air Peak Rise,"Bel-air Peak Rise, Telegraph Bay, Hong Kong",22.2551775,114.1325124
Bel-Air Rise,"Bel-air Rise, Telegraph Bay, Hong Kong",22.2582351,114.131561
Belcher Gardens,"Belcher's St, Sai Wan, Hong Kong",22.2835629,114.1304982
Belcher's Street,"Belcher's St, Sai Wan, Hong Kong",22.2835629,114.1304982
Belfran Road,"Belfran Rd, Prince Edward, Hong Kong",22.3262553,114.177058
Belleview Drive,"Belleview Dr, Repulse Bay, Hong Kong",22.238546,114.191691
Berwick Street,"Berwick St, Hong Kong",22.3322428,114.1653177
Big Wave Bay Road,"Big Wave Bay Rd, Shek O, Hong Kong",22.2407281,114.2467451
Bisney Road,"Bisney Rd, Hong Kong",22.270242,114.1285
Black's Link,"Black's Link, Hong Kong",22.2620498,114.1789325
Blenheim Avenue,"Blenheim Ave, Tsim Sha Tsui, Hong Kong",22.2968949,114.1745679
Blue Pool Road,"Blue Pool Rd, Hong Kong",22.2658679,114.1887804
Bluff Path,"Bluff Path, The Peak, Hong Kong",22.2664692,114.1545765
Boat Street,"Boat St, North Point, Hong Kong",22.2887224,114.1933717
Bonham Road,"Bonham Rd, Hong Kong",22.2844198,114.1425946
Bonham Strand,"Bonham Strand, Hong Kong",22.2860328,114.1509295
Bonham Strand West,"Bonham Strand W, Sheung Wan, Hong Kong",22.287358,114.148105
Borrett Road,"Borrett Rd, Mid-level, Hong Kong",22.2742559,114.1632961
Boundary Street,"Boundary St, Hong Kong",22.3266279,114.1747375
Boundary Street,"Boundary St, Hong Kong",22.3266279,114.1747375
Bowen Drive,"Bowen Dr, Mid-level, Hong Kong",22.2743109,114.1663403
Bowen Road,"Bowen Rd, Hong Kong",22.273956,114.1681801
Bowring Street,"Bowring St, Yau Ma Tei, Hong Kong",22.3042584,114.1698782
Bowrington Road,"Bowrington Rd, Wan Chai, Hong Kong",22.2779675,114.180633
Boyce Road,"Boyce Rd, Jardine's Lookout, Hong Kong",22.2695574,114.195435
Braemar Hill Road,"Braemar Hill Rd, Hong Kong",22.2862375,114.2001065
Braemar Terrace,"Braemar Terrace, Tsat Tsz Mui, Hong Kong",22.290004,114.2075268
Braga Circuit,"Braga Circuit, Kadoorie Hill, Hong Kong",22.323448,114.1768767
Breezy Path,"Breezy Path, Mid-level, Hong Kong",22.2833129,114.1460097
Breezy Terrace,"Breezy Path, Mid-level, Hong Kong",22.2834601,114.1457798
Brewin Path,"Brewin Path, Mid-level, Hong Kong",22.2744917,114.1559879
Briar Avenue,"Briar Ave, Happy Valley, Hong Kong",22.2638872,114.1891785
Bridges Street,"Bridges St, Tai Ping Shan, Hong Kong",22.2835468,114.1499573
Bristol Avenue,"Bristol Ave, Tsim Sha Tsui, Hong Kong",22.2973842,114.1729724
Broadcast Drive,"Broadcast Dr, Hong Kong",22.3412722,114.1807523
Broadway,"33 Tsing King Rd, Tsing Yi, Hong Kong",22.3586112,114.1078442
Broadwood Road,"Broadwood Rd, Hong Kong",22.2716198,114.1863328
Broom Road,"Broom Rd, Happy Valley, Hong Kong",22.264362,114.1881875
Brown Street,"Brown St, Hong Kong",22.2786306,114.1918414
Bulkeley Street,"Bulkeley St, Hung Hom, Hong Kong",22.3073209,114.1849677
Bullock Lane,"Bullock Ln, Wan Chai, Hong Kong",22.2766121,114.1758365
Burd Street,"Burd St, Sheung Wan, Hong Kong",22.2852205,114.151422
Burrows Street,"Burrows St, Wan Chai, Hong Kong",22.2768298,114.1765086
Bute Street,"Bute St, Prince Edward, Hong Kong",22.3219436,114.1682997
Butterfly Valley Road,"Butterfly Valley Rd, Hong Kong",22.3386265,114.1442548
Cadogan Street,"Cadogan St, Sai Wan, Hong Kong",22.2823588,114.126074
Caine Lane,"Caine Ln, Tai Ping Shan, Hong Kong",22.2835447,114.1483813
Caine Road,"Caine Rd, Hong Kong",22.2815833,114.1517189
Caldecott Road,"Caldecott Rd, Hong Kong",22.3442616,114.1490143
Calder Path,"Calder Path, Mid-level, Hong Kong",22.2757981,114.1585817
Cambridge Road,"Cambridge Rd, Kowloon Tsai, Hong Kong",22.332259,114.1796136
Cameron Lane,"Cameron Ln, Tsim Sha Tsui, Hong Kong",22.2990364,114.1727461
Cameron Road,"Cameron Rd, Tsim Sha Tsui, Hong Kong",22.2991181,114.174171
Camp Street,"Camp St, Hong Kong",22.3344515,114.160305
Canal Road East,"Canal Rd E, Bowrington, Hong Kong",22.278724,114.1814088
Canal Road West,"Canal Rd E, Bowrington, Hong Kong",22.278724,114.1814088
Cannon Street,"Cannon St, Causeway Bay, Hong Kong",22.2812871,114.1836784
Canton Road,"Canton Rd, Hong Kong",22.309215,114.1688396
Cape Collinson Road,"Cape Collinson Rd, Hong Kong",22.2594877,114.2387556
Cape D'aguilar Road,"Cape D’Aguilar Rd, Shek O, Hong Kong",22.214066,114.2448979
Cape Drive,"Cape Dr, Chung Hom Kok, Hong Kong",22.2179675,114.2054327
Cape Road,"Cape Rd, Hong Kong",22.2192216,114.2067646
Cargo Circuit,"7 Cargo Circuit, Kai Tak, Hong Kong",22.327667,114.204735
Carmel Road,"Carmel Rd, Hong Kong",22.2203871,114.2092653
Carmel Village Street,"Carmel Village St, No. 12 Hill, Hong Kong",22.3145342,114.1794068
Carnarvon Road,"Carnarvon Rd, Tsim Sha Tsui, Hong Kong",22.2991958,114.1736184
Caroline Hill Road,"Caroline Hill Rd, Hong Kong",22.2767407,114.1875873
Carpenter Road,"Carpenter Rd, Kowloon City, Hong Kong",22.3305745,114.1901969
Cassia Road,"Cassia Rd, Yau Yat Chuen, Hong Kong",22.330868,114.173116
Castle Lane,"Castle Ln, Mid-level, Hong Kong",22.2818039,114.1508835
Castle Peak Road,"Castle Peak Rd (Ting Kau), Hong Kong",22.3680416,114.0844176
Castle Road,"Castle Rd, Mid-level, Hong Kong",22.2822155,114.1496298
Castle Steps,"Castle Steps, Mid-level, Hong Kong",22.2815844,114.1497261
Catchick Street,"Catchick St, Sai Wan, Hong Kong",22.2832031,114.1275577
Causeway Road,"Causeway Rd, Causeway Bay, Hong Kong",22.2807437,114.1897862
Cedar Street,"Cedar St, Mong Kok, Hong Kong",22.3250217,114.1664955
Centre Street,"Centre St, Sai Wan, Hong Kong",22.286531,114.142282
